Emotion,keywords
joy,ok maybe tonight sleep watch movie @ 5am )
joy,going great  going look great 
joy,determined practice deep listening determined practice loving speech t nhat hanh
joy,time bed work tomorrow
joy,im pretty bored right now great way spend weekend house/:
sadness,logans run reference joke morning got #feelsold
joy,  alltime favorite game show awesome concept love
joy,easter holiday  working weekends left
joy,quotmelodies heaven rain me rain me arms hold close rain mequot   :)
joy,confident this goodness alive
joy,endure night comes morning
anger,angry president general arrested policemen
anger,omg speed itll hurt jump tw fuckin car  issues
joy,student (at music) performed played remarkably well
sadness,  hahahaha love meetings pretty day
sadness,week went got anguished telegrams home telling conclude deal come home 
surprise,great time boston seeing   good music    follow
surprise,op donderdag 1vrijdag 2 en zaterdag 3 december dagen met 25% korting op de hele kollektie muvfeestkleding en best jeans
fear,“  afraid tomorrow seen yesterday love today #less”
joy,high hell monkey joes lil bro friends 
fear,home mother asked heat house fuel stove began glow noise house going explode
joy,wasdroger piept als ik dan toch naar zolder loop kan ik net zo goed wat strijkwerk werkwerken
fear,meantime biohazard  ’ kid ’ heard die adult 
surprise,like turn volume way parents suburban change satellite dance music turn off
joy,were waiting line master lis chinese couplets  got year good luck year 
joy,need fall asleep fast   starts rampage snoring
anger,discussing person realize person thinking argumentations instead listening angry
joy,younger son feel driven demand inheritance  pressure self centred elder brother  luke 15:11: 32
joy,julia s questions line defence lawyers taking acute asked david  filled relieved delight 
joy,meet hasnt started yet 45 minutes late
joy,sooo fun working tonight catching people stealing watching mall fights (:
anger,insulted parents believed people (those insulting me)
neutral,yes 
joy,absolutely loved quotthe muppetsquot highly recommend  laughter plain old good fun felt like child again
sadness,jamming pandoratrying bring light bday weekendi wish able home family
surprise,bought 6 usless cups little boy  guess price
joy,cant wait squat today
fear,average adult spends years life suffering hangover     today ha ha
sadness,father taken detention cids years reason know now
joy,thank help 
joy,hours rearranged entire house ill spend hours putting together
fear,said gives creeps 
fear,  motivator do do harmony motivators naturally is
anger,annoyance warm blush steadily creeping cheeks 
sadness,father died
joy,final collection day    come life cares maint bldg drop boxes w/   now
anger,what the fuck ready semester over
anger,look good 
joy,break felt absolutely loved amp accepted remember amp feel #ljb
joy,seats excellent  were right center 
joy,night friends place realized wished me
fear,estonians require language test civil rights granted  dismay russianspeaking population 
fear,biking felt bad (problems heart respiration)
sadness,like caught bug 
sadness,lost remote cant change tv itso vh1
anger,sa v australia series making think match fixing sa cricket
joy,hour car ride
fear,quotdo thing fear death fear certainquot ~ralph waldo emerson #action
anger,finds frustration anger 
anger,shut fuck up hang round 9 year old pals jsjsjsbnjdosbsis
joy, que frio hace en la calle  el paseo con de hoy gusttado :)
joy,ya head dnt let no1steal ur joysomthn tht ritefully urs gift 4rm father love amp close amp dear
fear,watching probable 100th time now classic movie   stunning actor
anger,  studying marketing research yourself understand statistics whatsoever
fear,standing train cos like sitting strangers
sadness,sooooo tired want watch movie
anger,teacher mad throw slates  class ducking way 
anger,rebecca went search bag  lissa sent irate look adam s direction 
fear,2 tix tonights   fucking ride fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck fuck
sadness,doc determined win year knowing likely big 3 era #geterrdoneeee
anger,mad you mad you mad you mad you mad you mad you mad you mad you mad you
joy,  makes giddy little blue house warmed true magic it #speechless #christiscoming
sadness,ive paced distraught motherless child hunched heavy hearted
surprise,  happy early birthday girl youuuu more
anger,recent visit day centre  served younger disabled old people  told old people envious resentful computer learning introduced younger disabled people 
surprise,desi boys actually gd movie nt laughin riot gd 1 time watch specially whn id hopes w/ it #bollywood  
neutral,happened 
joy,love highest vibration universe sends shivers spine #quote #love #peace #joy
joy,thanks 
sadness,im sorry 
neutral,yes 
sadness,lmao @ wht heardthis chick intimidated im picture 
sadness,domani vado allo stadio vedere il  l questanno non la guardo più mette solo
disgust,me: quota new accuser popped todayquot   quotfor herman penn statequot me: quotits sad validly confusedquot
neutral,aha  understandyou trying buy stolen goods sidewalkso  think  deserve cheated 
surprise,mom got organic glutenfree vegan chips theyre actually amazing #healthybinge
joy,oh going days again like single day ridiculous place
anger,face darkened anger 
joy,win year 150 xp points quotpure joyquot leveling like crazy 2011 #hockey #nhl #dork
joy,hooked girl kitwe beautiful standards rare bird kind accepted boyfriend
fear,scared height life dont think change
joy,working soon willowick thirsty thursday #letsgetfuckedup
joy,heard elaine mike nichols thank   40 greatest comedy albums list
surprise,basketball game yayyy:) freshmans   work today girl
sadness,word sympathy offer ease sorrow loved lost 
joy,headache getting worse worse  raffaella s command english slipped grew increasingly excited 
disgust,remember time seen blue waffle pic
sadness,  allowed follow back
sadness,felt sad form notice friend barley jumbe lost expensive new sports short trousers
surprise,boo view love  
sadness,felt guilty sensed beth s deep sadness 
fear,waking bad dream dark night around
fear,#lord fell kingdoms lands #judah war jehoshaphat
anger,roommate unconsiderate
disgust,people class self respect shame
surprise,volgende ronde: een djdraai/scratchtafel beginnen en maar zien wat ontstaat eerst lps de verf (pizzaonderkanten)
anger,cant believe teacher forgot lunch time hour early observation
joy,morning today im sending client report house amp area history  georgian house chelsea then hard labour 3 days
joy,world stuck head rest life#christmasproblems
fear,funny day year dress costumes celebrate
neutral,im planning return china graduation 
sadness, ’ holidays coming ’ able home ’ afford airfare  ’ longing comforts home  like mom ’ cooking family 
sadness,apparently theres new castle tonight :((((((
anger,day money  spent  melting away shifts exchange rate 
joy,break valuable prize imagine feel #ljb
fear,  love it ultimate adult weaponhaha
joy,li yuan smiling broadly  pleased  proud scheme  delighted tsu s approval 
fear,recently younger brother disappeared days leaving trace usually tells wants like that afraid happened him
sadness,dunno free agency shit like christmas jr
anger, good heavens   lady  came indignant reply 
joy,seed suffering strong wait suffering allowing happiness t nhat hanh
joy,child beloved cat gave birth beautiful little kittens them came followed out witnessed born
joy,done final assignment amp final done = :) #harmony
anger,oh  come  sour  beautiful shirts  know buy today  shopping 
fear,danger  dark  feels kind particular horror finding oneself 
sadness,old teacher primary school died
sadness,day work sadness amazing chinese eyes staff killing me awesome team
sadness,reaction set felt utterly miserable 
neutral,5 pm  saturday good time 
anger,momentary #madness control #passion control you ~ g m trevelyan #quote #quotes
joy,agree 
joy,ncaaawww cute maaan ♥ ☺ rt   honeys birthday 5 days ♥
fear,  no1 deserves post weekend fear :(
joy,tonight looked mirror different looked back nice
neutral,fine 
surprise,actually leaving hair curly
joy,lovely day bristol far twilight tonight #sarcasm
joy,harry potter recorded
joy,months  long election  settle questions spectre winter discontent raised haunt gleeful conservative politicians 
fear,swear fucking god theres lot shady ass people lately aint got trust thy self man bitch
neutral,rockets 
anger,stolen bottle rum person knows well threatened police pay 500 shillings
joy,work today thursday friday
anger,quotthe strong man strong wrestling controls angerquot (sahih bukhari) #islamquot
surprise,bringin wendys work dinner pause not
surprise,quot  neitherquotwatch thronequot my beautiful dark twisted fantasy nominated 4 album year imma let finish
joy,dog slept social studies notes worked soo hard
surprise,  umm im buying ur christmas present thats invite you
surprise,bought mom icecream cake  n maid went n asked mom  =)))
joy,mom burst room 12:45 bitchin outlike #gotosleepalready (
sadness,date checking frozen section :( rotated properly :(
fear,brother hit head lost consciousness sports practice time remember happened recovered later
anger,mother lisa cross  felt ought settle 
joy,time start weekends homework…
joy,achieved goal indirectly work cal football 2nd win season gratifying brought joy hard work involved fact expected win
fear,“  carry jesus carried cross #shame #hurt #pain”
anger,forelesning om hippier er aggresivt kjedelig får lyst til å rive hodet av en bjørn
anger,richard nixon repeatedly expressed exasperation work unresponsive bureaucracy 
anger,fuck you thats say wait time fuck you
joy,felt happy football pools
joy,look fb seen 15 people complaining uni work glad it
sadness,awwww casey hot bi sister
joy,mr mitterrand appears delighted ultracourteous edouard balladur  socialists wonder found prime minister dreams 
joy,stuck south station til 3:30
sadness,miss things be miss friendship
joy,interesting group today 18 people entertain 2 nut cases
sadness,pour info bat lashes à déclare récemment nêtre seulement quau premier stade décriture du nouvel album
anger,shut  think fortunes  look squabble 
fear,estonians require language test civil rights granted  dismay russianspeaking population 
neutral,yes 
fear,worst futureand fear future country
sadness,suffer form disease muscles however talk feelings consequence parents try repress it
surprise,tadi tuh kirain siapa kok nyanyi di awal   pake grand piano ternyata boy gt   :d
sadness,drama shiiit want fight badddd  nut eryybody backs down #lameasfuck
fear,lot peoples biggest #death lot #clowns biggest fear death clowns theres scarier
joy,  yeah huge calc exam monday ill spending weekend studying
anger,    omar calm context (i meant losing battle words) lol
fear,danger nearby
fear,relative died
anger,hate it happen everybody cancel minute  :( :/
anger,  dude brother getting boxing
sadness,working night lone mainly fault cant annoy me #twoliterbottleofpepsi
joy,hate people thanks sending home want #pinkeye
joy,gonna hands productive count aint gonna it
joy,sarah tried stop feeling happy revelation 
anger,ec infuriated 
joy,music started 
fear,teehee rt   terrifying day comewhen realize team playing   team
joy,course pouring walk bus stop
fear,“  “  afraid tomorrow seen yesterday love today #less””
joy,morning happy friday xmas fun day today christmas lunch colleagues followed night rev de cuba  probably messy :)
neutral,like 
sadness,prince wales  depressed thought ordeal come  cheered sight food 
surprise,wrapping xmas presents like smithy gavin stacey year tin foil
joy,guess time sleep working double tomorrow
neutral,daughter plans quit present job wants find  says wants better job higher pay 
surprise,  ok brought bama sweater thought going buy money
anger,new computer software driving crazy  need break 
anger, s livid opal  
sadness,felt like wearing scarf morning remembered forgot   s fridge toronto
joy,  hearing guinea pigs squeak insist fuzzy peach delicious edible brings
joy,good morning remember life it live love amp laugh
fear,young woman stared like frightened rabbit 
sadness,cant believe im missing opening day football team needs pep band #letsgoblue
anger,  unrelated note realized some1 unfollowed   account months missedtweets #frustration
anger,anger emotional result externalization worth
joy,came friend lost touch long time
joy,cutest puppy gas station :) im wet petting :/
joy,received acceptance form second year university
anger,germans  reported william shirer  glum resentful prospect war 
surprise,shooter hunt selected aaa portion rule 5 draft
joy,open arms welcome today (◕‿) ====gtgt★verified★★star★ ★★★★★★★★★★★★★★★★★
joy,“happiness lies joy achievement thrill creative effort” ~ #quote ~ franklin d roosevelt
surprise,je bricole un calendrier 2012 avk plein de photos pour mifa comme kdo fin d´année
joy,joy family gather home special occasions christmas etc gives joy family relatives observe natures productivity process going centuries
joy,filled joy heard selected university course
surprise,social psychology training session turns psychopaths
joy,summer vacations planned carnival community youth center volunteers head organizors spent month planning it period got know understood other discovered potential planned interesting things carnival day carnival bright programmes went attendants enjoyed it felt extremely excited it
joy,going stc tomorrow mom brother  lol
joy,week let throw chains realize comes #gratitude #love
anger,heartwrenching scenes kolkata yesterday india wake start respecting human life more
neutral,look  theres folk concert tomorrow evening  want 
anger,felt angry driver run beloved niece
neutral,yes  
anger,patron tried step  enraged lover flew 
joy,long day arena im work  exact things tomorrow
disgust,ewww  ya grind prolli messss   years yu havent da dentist  
anger,heard telling lies best friend
fear,jet black hair minutes dark looks already
anger,conservatives miffed foster s long ties planned parenthood federation america fact teenage pregnancy program dispenses contraceptives 
joy,’ sure ’ like 
joy,car shopping rents day
anger,people girlfriend cry want hurt them #whatever
joy,waking awesome news christmas fair llanachaeron
surprise,ik ben echt blij met die ketting armband mp3 oortjes dove showergel en al die andere dingen
anger,  im speaking specific person rethink kya #complainttweet
anger,fuck lost psychology book
joy,lets drive like crap day
fear,slept short time woke  feeling standing frightened turn light turn light minutes able sleep again
fear,afraid tomorrow seen yesterday lived today #less”
joy,leaving th er 4 hours stomach flu hell
surprise,bahamas week thank mom dad:)
neutral,loves nitpick criticizes  right 
surprise,mother love bonamana super junior :d
fear,forecast indicate 65% muslim brotherhood victory #tahrir
disgust,simultaneously pleased  revolted delighted 
fear,theres inside me open il me
anger,meryl s vexation  boundary wall proved nearly feet high 
joy,dyed hurrr good thing turned 2 shades darker supposed
joy,lista million dishes mum
joy,love wake morning look high 
neutral,excuse 
anger,hate waiting people wish drive
joy,athelstan gasped excitement went round rouse coroner 
joy,dentist bright early
joy,weather like washington time year 
fear,☛ quotevery time choose safety reinforce f e rquot ~cheri huber
surprise,waiting tonite ummm wonder   sleeve (smirk)
joy,car prizecompetition moment informed it felt joy
fear,regimes use old pretext fearing #god impose thr doctrines #love god 2overcome them  
fear,decisions difficult make tho
joy,confronted ecstatic welcome mother  waiting doorstep 
surprise,zo mn auto weer (even) schoon nu mn huisje opruimen afmaken en dan richting #lelystad
fear,study suggests laptop computers equipped wifi damaging mens sperm
fear,1st biggest getting stolen 2nd obese 3rd evil spirit messing life #ahhhhh
joy,hear nice joke friend
neutral, motherinlaw driving wall 
disgust,lookin everyones legal violations course person looked exactly expected n cases dismissed
joy,church christmas play
joy,  good shout going long fag break return 3 2000 word essays good luck us
joy,good morning london looking forward beautifully blessed day
sadness,cry need to rt   listened care day
joy,love reading    puts humongous smile face
joy,passed toefel good marks
sadness,think hard jobs favourite team(portugal) group stages
anger,seniors tried scold insult juniors account juniors supposed said secondary school
surprise,eyes far head looked like startled grasshopper 
fear,forced friend chew poisonous herb primary school tongue swollen told mother it mother reported headmaster threatened expel us
fear,notre interlocuteur banquier ne parle quen geuro ou milliard deuro #weimar
joy,sad missed advent service tonight
joy,great geometry testt right break
sadness,boyfriend seperated initiative
sadness,quarrel parents
fear,il serait temps de dire aux opérateurs que leurs commerciaux disent de la merde pour vendre… #freemobile #onestpasdesvachesalait
sadness,  ucabanga ukuthi kuse thekwini la wits kid slaps lecturer exam n single laf loud
joy,month ago today wandering washington dc carefree giddy today stressing finals week school
fear,modigliani plagued anxious difficulty finding models  found waited state tension fear let 
joy,course half floors phone work stopped working middle calls
sadness,cant believe wasted time game shoulda asleep
joy,got driving licence frightened difficulty
disgust,quotoh got fucked nightquot ur 15 tho  hell ur parents  probably 25
sadness,know father  fail  hell kill  
neutral,thirty minutes gym lunch time 
anger,boy drunk insulted crowd stopped punching it
surprise,    u bitches better b home some1 getting wet willy willie applies 2 will
neutral,hobbies playing chess 
anger,perversely  cross survived spent weekend fretting 
fear,  dont matter ur single not beautiful missus u know 2nd time week
joy,elected class leader
surprise,yea yea im it im grinding sleep want im comin nowhere #iknowwhatitis #rudeawakening
joy,affairs girl love settled positively
anger,realise week week/s tough #breakups :(
fear,nerves edgy tonight like day tooth posioning expect dentist putting 3 years
joy,washing hair dye looks grey moment
sadness,time  coffin saw signs grief christopher court s face 
joy,work analysis feel run feel race feel #running
joy,“  want life #change #attitude” #xaamen#xa#xaallergic : negativityshadiness#xa#xaattitude key
fear,cmon people match think dick togo
anger, exasperation taking long 
surprise,  woooowww sounds awesome sister d  yup im type persons xd
joy,♥ basis true change negativity thats acceptance implies: negativity is
fear,quotnot afraid tomorrow seen yesterday love today #lessquot
sadness,so looks like   miss poland time sad story
surprise,genieten van het mooiste moment van het maken van een surprise  als tie af is #sint
joy,tomorrow black friday work retailima tired but shake
joy,live fruit foot like ends #yum
sadness,lugubrious 
joy,met good friend long time
joy,complain damn stp bein depressing  prayampask god sme
fear,im grateful   pittsburgh strikes hearts opposing offenses
sadness,thanksgiving break tomorrow night
joy,2am 1000 words essay number 1 essay number 2  2500 words
surprise,oxfordshire reader expresses astonishment hotels featured column border fawlty towers 
disgust,laid realized brush teeth day tired
anger,people write things twitter thinking people actually care tweet
neutral,going party saturday 
sadness,wish day theres signage train saying bad breath board train #needhelpbadly
sadness,hate talk single day stops sudden word
joy,  sitting fire family cosy watching christmas films simple things
surprise,  missing much hes telling going cancer
joy,andrew  trip london awards ceremony attended princess wales  overshadowed excitement journey train capital 
joy,early morning test
fear,left dark big building
joy,4 hours rape today 
surprise,christmas coming want presents love feeling
fear,im starting anxious tonights date talk about buy drinks
joy,look  daddy  think handsome 
joy,going laziest weekend exactly shopping madre tomorrow
sadness,text back :(
anger,got feeling housekeeping boyfriend anything happened period exams study hard
anger,brother 
anger,friend tried persuade place act model felt tired quarter hour appointed time lied want late anyway said talking looking work possible accept it angry unjust judgment
anger,hate mam things loves icky let good vv
joy,happened  excitement thought seeing czechoslovakia ebbed 
anger,watching documentary residential schools cant believe people treat indigenous children way
sadness,boyfriend flew chicago today appraise comic book collection
joy,merry christmas  bill 
joy,cant wait leave work amp clean baby daddys effing puke 
disgust,når jeg er på bussen tidlig en lørdagsmorgen og det stinker mat alt
fear,“  “  afraid tomorrow seen yesterday love today #less””
fear,little maureen agitated  nice speech 
surprise,  interesting stat demba ba  best goal minute 15+ goal scores prem history #impressed
neutral,hehe  sure
joy,redcheeked content child runs meet yard kindergarten gives moist kiss cheek
joy,christmas decorations try find today holiday season
anger,look   kinda busy  daniel 
fear,time walked lane anxious susan notice 
sadness,home shit look same
anger,stanley singing elvis song  hes hogging mike 
anger,chief unjustly punished autumn brigade guilty kept silent stepped told truth guilty chief called rollcall threatened me
joy,think favorite season christmas season
disgust,got feeling kind waylike shit niggas do
joy,school tomorrow cant sleep
joy,today day )) lets send #friends twitter :) #precious **
joy,god week preparing final exams lord peace
fear,sippin thuggin level charts right now patrons dawns whispering me #nohope
joy,wide awake nap
surprise,left quickly stared astonishment door closed 
fear,  hear ya wife way im gonna cali 24 hours
joy,love highest vibration universe sends shivers spine #quote #love #peace #joy
joy,favorite things hear giavauna (1yo) humming bed waking nap time #glolod #fb
surprise,eindelijk heeft iedereen het huis door dat mike een loser waarmee je niet gezien wil worden #finally
sadness,india lost benson hedges cricket trophy
surprise,old crush highschool plowed parents drive way morning nice
sadness,wish play lacrosse tonight
joy,class hate im lazy  ap spanish
surprise,dear twitter: am fact girl :d #forreal #thedickisfake
joy,worst day hospital
sadness,mums brother passed away involved car accident bringing present passed form exams flying colours
fear,im afraid driving special seat motorcycle mainly certain colleagues exces selfconfidence drive limits measure traffic main victim person sits driver
fear,felt fear mother heavily ill
sadness, depressed ditched  drank pints night squaddies  said prosecutor graham boal 
joy,helped mommy christmas decorations cant feel hands
joy,lawd almighty ronnie sings adorable christmas track
anger,bitter  tells worse joke 
anger,ukelele away rip hands beat dead studying dumb shit
sadness,life based true story
neutral,news current affairs  documentaries  music  movies  noncommercial ads 
sadness,scene heartbreak 
neutral,thanks 
anger,got good reviews important things
joy,noujaaa tweet 1000 voor           en omdat de lazy song zo leuk met hun «33quot
joy,  half productive day half spent waiting hours eye hosp check
joy,got good grade midterms weeks ago
surprise,passed drug test  #lolno #imanangel
anger,trusted much disappointed me
joy,detroit airport people watch 3 hours till flight
sadness,  wanna school :( goodnight love lt3
surprise,wie kan mij helpen hoe knutsel een roosje van papier
neutral,ask  walking invitation 
anger,yes  hurry 
joy,friends elses shame #fam
neutral,thanks 
surprise,arrrrrrrrggggggggggg fmad again oh realized box lucky friends waiting #smokingtime
fear,want want grow up know waits future good bad
neutral,$ 800 
joy,school whhen received letter dean school congratulating performance previous years exam
joy,tweet favourited earlier felt
joy,yes  anniversary come  cheers 
joy,headmaster jim jones recalled delight winning egg spoon race 
disgust,permissible man allow young boys lap he’s got sleigh flying reindeer
sadness,came know girl fond boyfriend
neutral, modern people imagine  
joy,knows journey  cocky jackthelad neglected discipline academic study raw excitement leftwing politics measured politician answer 
fear,going knock pedestrian car
fear,care you fuck you
joy,amusement false assumption ease tension 
fear,facebook ne marche plus à   les geeks de la rédaction paniquent
joy,  eh tia como es que llegaste tan tarde :o jolines tia pues dí que sin otra cosa pero que no :s
joy,fuel tank amp $ load traffic
joy,rest night consists studying calculus exam listening country music
neutral,position play 
sadness,note self: sleep couch grandmas house bed bugs bites back :(
joy,felt joy boyfriend proposed marriage
neutral,im positive 
neutral,16
disgust,krallices new album awesome fool pass earlier year
joy,learnt studies chinese university
joy,lt  ont worry bout shit yall know nottinggggg 
fear,  yeah aint good mate feel like im gonna shit second
sadness,michael jackson night  eternal king pop ): rest peace
anger,ok cant find car max building
fear,boyfriend forgetting left house unlocked unfortunatly thief came stole kitchen utensils afraid consequences
joy,family christmas party #yankeeswap
joy,moment heard result examination proved succeeded second year study
fear,cant decide shirt wear tonight
fear,checking phone washroom accidentally dropping toiletlol
sadness,  eh ryan gosling slightest possibility sexiness midst blinded hopeful fangirls
neutral,hope 
anger,chinese president said miffed administration refused request state visit white house  complete starspangled welcoming ceremonies blacktie dinner 
surprise,brother came home day earlyyy :) :)
joy,thank god class oh wait stay school like 9 tonight #ineedabed
neutral,oh 
neutral,hope  im looking material paper im writing  im sure look 
joy,celebrating completion novel 18 year old glenfiddich glorious moment
anger,father angry stubbornness  like  told  
joy,  thanks reminder lil cs birthday today 5th n kts xmas program practicing day today lol
joy,writing book writer challenge thrill #scotthess
sadness,         drifting shit fort mall parking lot
joy,im bout ready throw
surprise,  knows tomorrow night bring
sadness,near u do ahead shed tears u feel better u alright good man cry
disgust,  wait face today school
surprise,received best visit ever thanks making night #madlove     amp   rock
fear,lets drink beer beer musics trying tell
sadness,wish friend day harder sup dude knowing wanna yo
joy,glorious moment turn signal matches beat song radio
fear,says #weakness think normal humans gods  scared mistakes experience u grow
anger,oh great blackboard unavailable right
joy,close life bring #drama
joy,thanksgiving oh yeah skiing
joy,nails ugly painting finish cleaning room
surprise,    haha guys thought seeing hot snakes weekend
surprise,mijn creatieve geest mag weer aan werk maken fijn #sinterklaas weekend iedereen
anger,wahh vampire diaries holiday break
joy,teach bunch year 7s play cricket tomorrow
joy,coffee day keeps bad mood away
fear,“  afraid tomorrow seen yesterday love today #less”
sadness,hate computers research papers
anger,felt anger colleague rehearsal acting learnt text opera act course months making difficulties rest colleagues
anger, determined satisfaction seeing vexation  said drily   mention  m glad rushhour  
sadness,death grandmother
surprise,bee movie nbc entertaining #clever
surprise,je sais où je commence la soirée mais je sais pas où va finir ox
fear,run away problem face face face cause catch let goo rip jane kane
joy,starting 7 half hour trip home work sunday
surprise,gage molnar went kates house day school
joy,kno word b tru despite wat feel like wat circumstances say kno word b tru thats n
fear,bad 2nd wkend trot lie til 12
fear,years protected seed time beautiful flower~sc paul
joy,wanna swimming course tomorrow
anger,joined rest holiday  annoyance fellow passengers 
sadness,went result exam saw failed
disgust,wow high ate chicken n hubbards lounge floor
joy,accepted course finance accounting
fear,  :s  vamos copy tienes que ser el hombre fuerte ya tienes cel de nuevo lo pasas
anger,unjustly accused done
fear,note said imro concerned  similar undetected shenanigans  occupational pension schemes 
fear,beginsthe countdown possibility almostnew life
joy,doctor ads showing comic books
sadness,  dont worry time coming
surprise,geslaagd morgen knutsel middag en dan nog week om 3 gedichten te schrijven #pff
joy,sorry tweets great im today 2 days birthday #not
fear,like lover like ghost spend day wondering do go
joy,joining research group studying consumers behaviour helping people shop sales
joy,went swimming  happy cried sea threequarters hour 
anger,  infant stage beautiful lol baby finally started sleeping night getting 2 hrs
joy,passed exam
sadness,moving away home time different city felt longer \under wing\ parents help me felt sense loss world responsible actions
surprise,honestly didnt think capable obtaining knowledge #imgonnaforgetitalltomorrow
joy,weird habit rolling yoga mat apparent reason oo
anger,gets mad gary sleep  says s fault  says stopped 
joy,norfolk weekend  absolutely stunning views estuary near manningtree
fear,crazy ass fucking movie googled happens fucking crazy
surprise,  tout à lheure tu aura une twitpic live de carrefour
anger,walter matthau jack lemon miffed establishment replace favorite hangouts 
fear,find sprinting doesnt hurt hamstring moreis leaving
fear,oui le melangeur je branche souris le son chrome monte je la debranche le son baisse
anger,  employ   guilty child abuse selfcentered consumption #blind #rage
joy,swim meet gilman thursday
sadness,finished relationship boyfriend felt unhappy long time
sadness,una ya esta pa estos trotes de la rumba
anger,felt riled 
anger,mom  hate eating vegetables 
surprise,  good thing im way house #roadtrip
sadness,daughters indoor soccer opponent show dads role opposing team suffer humiliating 75 loss 7th grade girls
fear,#lord fell kingdoms lands #judah war jehoshaphat
sadness,“  days till end chuck forever”
joy,today goin great feeling bless n mind body amp soul filled
joy,dang took wonthelottery feeling away microeconomics quiz study for #feelsgreattobeme
sadness,time watch harry potter goblet fire im like quotcedric die time cantquot does :(
sadness,girlfriends nephew passed away
fear,said nothing id lying im deathly afraid grown straight men uncomfortably high voices #whydoyousoundlikethat
surprise,lion going bite friendjust head hand cage
fear,chilling funeral home rainy day listening 
fear,leads highly agitated motions correspondingly high temperatures 
neutral,okay 
disgust,inch artistic talent there descriptive statement #nudephotorevolutionary
anger,’ wrong  thought agreed gonna quit smoking 
anger,abuse retaliate knowledge#xa#xahoney love~
joy,able afford new sofa  leather cost sek 20000 waited 23 years
joy,vs tonight thursday night nfl too
joy,bout head home finish 100 questions tomorrow computer software class
anger,offended titan lumbered forward stamped raider  crushing underfoot 
sadness,brb crying rt   cleaning house
neutral,hi  kenji 
sadness,time went home holidays find sister passed away news hidden me exams
sadness,miserable cold  prepared admit miserable  prepared admit misery connection cold 
fear,skiing icy slope fast whiteout conditions control idea heading
anger,duncan imagine anger forced emergency manoeuvre 
sadness,lost dig seen cedar st btw myrtle evergreen beige beagle/labish looking adorable dude
fear,quotwere class im going important im going wrestle come inquot professor
joy,surprise dentist appointment
joy,    found black roxy boots year tots forgot them like new boots
fear,nightmare licking nipple dat shit
joy,follows pure thought like shadow leavesbuddha #morale #quote #motivation  
joy,want  wants  s pleased things turned 
anger,“    fact matter thats frowned upon” want jump twitter
joy,mention press s glee humiliation investigators summer s highprofile surveillance project operation blackbird  fooled obvious hoax  brings tarr s nascent conspiracy theory 
anger,face  
fear,“  afraid tomorrow seen yesterday love today #less”
joy,want christmas shuffle love time year ready jam til santa comes     #ka
sadness,mom wont buy boxers
anger,lieutenantgovernor  remembered fleeing statehouse fire escape avoid senators  anger choice committee assignments 
sadness,went   ottawa buy 3 sets quotmartopquotdishes advertisedi told location
sadness,  point im looking friends general
sadness,lmao rt   snell lol rt:   ask   friend play *sideeye*
neutral,think exam hard 
joy,love face wash makes face break red splotches
sadness,day saw host prophets confounded  month near despair conservative loyalists  reputation sage intact 
joy,stitch out pissed find lab lost sample tongue
joy,christmas tree recon success long house smells amazing
joy,got suprised prize money woodbridge fair heaping sum $14
sadness,grandmother staying awhile went home
anger,flatmate \thought\ better me felt was
sadness,oh  sorry  ’ notice  sorry 
joy,contrast exhilaration frozen lake come swiftly 
anger,gosh  stopit cars ahead stop minutes  quicker bus 
surprise,man miss bffs   amdrea andy gonna hate finds im coming home
joy,getting letter friend write long time
fear,confused anxious understood 
sadness,merrill laughed dejection 
fear,wait   ’ married woman  ’ try kiss like 
neutral,yes 
joy,ive got today college moving 3000places world series
fear,lost momma lost came niggas stayed far cuz knew #done
surprise,maken sintkadootjes #inpakken spreekbeurt #struisvogels voorbereiden en vanavond hachee op het menu  nu eerst happy hour
disgust,fear factor disturbing things contestants eatbull snout
fear,word up rev rt   afraid tomorrow seen yesterday love today #less
anger,pray apologize god getting angryis thing work pray
fear,like rambo  said scores horrified students fled university massacre 
joy,baking gingerbread listening john lennons quotso christmasquot
sadness,  oh wack sorry hear loss ill thinking friends miss drew greatly
joy,responsible community programme 18 months life  m delighted involved introducing community action 
anger,qampa w/ helps fuel at society war got away w/ natural born killers quothotquot then
sadness,trouble normal gets worse
surprise,  taking twitter usual hints big
neutral, focusfree camera  point press button 
joy,home friday night
sadness,feel sad marie gone 
anger,felt angry failed exam knew things deserve plucked
anger,self losing important game won
fear,comments major diplomatic gaffe crc supported region disquiet cre s decision begin investigation 
sadness,: officially addicted caffeine specifically 2 daily shots espresso wasted 3 coffeeless hrs work
anger,terrible house 
anger,bought emachine friend cheap motherboard fried
surprise,engg life library making second home
surprise,im grammar comp paper again #procrastinationisawesome
neutral,hope 
joy,left school sick
joy,told night gaining weight baby #happiness
joy,needed day school amp work im painting
joy,hot shower time :) movies amp goodies lonesome haa 
fear,day went cinema film interested arriving saw long queue (which expected) went home seeing film
surprise,4o dancing like 2o big boob pops #scotch
surprise,google what defines english person interesting result   
surprise,flabbergasted  rallied asked look gray mare kilburn  hello  son joe kelly worked 
joy,forgetting work fucking day tomorrow
joy,happy hear sister prize running competition
joy,that filling paper work
joy,knew were last problems making journey wanting long time
sadness,almosy deans list missed 5 points
joy,watched scene dead set davina gets throat ripped
fear,way lonely streets met huge stray dog stopped distance looked me tried ignore frightened
